Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme,Komuna
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,142,0.52,Lipjan
POKRET ZA GORA,2,0.01,Lipjan
NOVA DEMOKRATSKA STRANKA,9,0.03,Lipjan
AAK-PSD KOALICIONI 100% KOSOVË,1384,5.05,Lipjan
SLOBODA,7,0.03,Lipjan
SAMOSTALNA LIBERALNA STRANKA,23,0.08,Lipjan
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1549,5.65,Lipjan
JEDINSTVENA GORANSKA PARTIJA,2,0.01,Lipjan
KOALICIJA VAKAT,17,0.06,Lipjan
FJALA,49,0.18,Lipjan
LËVIZJA VETËVENDOSJE!,5366,19.58,Lipjan
KOSOVA DEMOKRATIK TÜRK PARTISI,70,0.26,Lipjan
PARTIA ROME E BASHKUAR E KOSOVËS,13,0.05,Lipjan
PARTIA EUROATLANTIKE E KOSOVËS,18,0.07,Lipjan
KOSOVAKI NEVI ROMANI PARTIA,2,0.01,Lipjan
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,12,0.04,Lipjan
ESMIR KASI,3,0.01,Lipjan
GRAÐANSKA İNİCİJATİVA GORE,18,0.07,Lipjan
LIDHJA DEMOKRATIKE E KOSOVËS,10365,37.83,Lipjan
SRPSKA LISTA,613,2.24,Lipjan
PARTIA LIBERALE EGJIPTIANE,41,0.2,Malishevë
PARTIA DEMOKRATIKE E KOSOVËS,4825,23.5,Malishevë
PARTIA E ASHKALINJËVE PËR INTEGRIM,8,0.04,Malishevë
STRANKA DEMOKRATSKE AKCIJE,4,0.02,Malishevë
PARTIJA KOSOVSKIH SRBA,2,0.01,Malishevë
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,13,0.06,Malishevë
POKRET ZA GORA,0,0.0,Malishevë
NOVA DEMOKRATSKA STRANKA,6,0.03,Malishevë
AAK-PSD KOALICIONI 100% KOSOVË,1440,7.01,Malishevë
SLOBODA,3,0.01,Malishevë
SAMOSTALNA LIBERALNA STRANKA,16,0.08,Malishevë
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,7383,35.95,Malishevë
JEDINSTVENA GORANSKA PARTIJA,9,0.04,Malishevë
KOALICIJA VAKAT,2,0.01,Malishevë
FJALA,58,0.28,Malishevë
LËVIZJA VETËVENDOSJE!,2652,12.91,Malishevë
KOSOVA DEMOKRATIK TÜRK PARTISI,11,0.05,Malishevë
PARTIA ROME E BASHKUAR E KOSOVËS,0,0.0,Malishevë
PARTIA EUROATLANTIKE E KOSOVËS,9,0.04,Malishevë
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,Malishevë
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,0.0,Malishevë
ESMIR KASI,0,0.0,Malishevë
GRAÐANSKA İNİCİJATİVA GORE,3,0.01,Malishevë
LIDHJA DEMOKRATIKE E KOSOVËS,4044,19.69,Malishevë
SRPSKA LISTA,7,0.03,Malishevë
PARTIA LIBERALE EGJIPTIANE,4,0.21,Mamushë
PARTIA DEMOKRATIKE E KOSOVËS,343,17.66,Mamushë
PARTIA E ASHKALINJËVE PËR INTEGRIM,2,0.1,Mamushë
STRANKA DEMOKRATSKE AKCIJE,0,0.0,Mamushë
PARTIJA KOSOVSKIH SRBA,0,0.0,Mamushë
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,2,0.1,Mamushë
POKRET ZA GORA,1,0.05,Mamushë
NOVA DEMOKRATSKA STRANKA,4,0.21,Mamushë
AAK-PSD KOALICIONI 100% KOSOVË,23,1.18,Mamushë
SLOBODA,0,0.0,Mamushë
SAMOSTALNA LIBERALNA STRANKA,0,0.0,Mamushë
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,120,6.18,Mamushë
JEDINSTVENA GORANSKA PARTIJA,0,0.0,Mamushë
KOALICIJA VAKAT,8,0.41,Mamushë
FJALA,45,2.32,Mamushë
LËVIZJA VETËVENDOSJE!,76,3.91,Mamushë
KOSOVA DEMOKRATIK TÜRK PARTISI,1264,65.09,Mamushë
PARTIA ROME E BASHKUAR E KOSOVËS,2,0.1,Mamushë
PARTIA EUROATLANTIKE E KOSOVËS,0,0.0,Mamushë
KOSOVAKI NEVI ROMANI PARTIA,4,0.21,Mamushë
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,0.0,Mamushë
ESMIR KASI,0,0.0,Mamushë
GRAÐANSKA İNİCİJATİVA GORE,0,0.0,Mamushë
LIDHJA DEMOKRATIKE E KOSOVËS,41,2.11,Mamushë
SRPSKA LISTA,3,0.15,Mamushë
PARTIA LIBERALE EGJIPTIANE,91,0.29,Mitrovicë e Jugut
PARTIA DEMOKRATIKE E KOSOVËS,10676,34.41,Mitrovicë e Jugut
PARTIA E ASHKALINJËVE PËR INTEGRIM,37,0.12,Mitrovicë e Jugut
STRANKA DEMOKRATSKE AKCIJE,19,0.06,Mitrovicë e Jugut
PARTIJA KOSOVSKIH SRBA,6,0.02,Mitrovicë e Jugut
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,90,0.29,Mitrovicë e Jugut
POKRET ZA GORA,15,0.05,Mitrovicë e Jugut
NOVA DEMOKRATSKA STRANKA,31,0.1,Mitrovicë e Jugut
AAK-PSD KOALICIONI 100% KOSOVË,944,3.04,Mitrovicë e Jugut
SLOBODA,3,0.01,Mitrovicë e Jugut
SAMOSTALNA LIBERALNA STRANKA,3,0.01,Mitrovicë e Jugut
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,873,2.81,Mitrovicë e Jugut
JEDINSTVENA GORANSKA PARTIJA,3,0.01,Mitrovicë e Jugut
KOALICIJA VAKAT,38,0.12,Mitrovicë e Jugut
FJALA,203,0.65,Mitrovicë e Jugut
LËVIZJA VETËVENDOSJE!,10442,33.66,Mitrovicë e Jugut
KOSOVA DEMOKRATIK TÜRK PARTISI,218,0.7,Mitrovicë e Jugut
PARTIA ROME E BASHKUAR E KOSOVËS,47,0.15,Mitrovicë e Jugut
PARTIA EUROATLANTIKE E KOSOVËS,59,0.19,Mitrovicë e Jugut
KOSOVAKI NEVI ROMANI PARTIA,3,0.01,Mitrovicë e Jugut
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,6,0.02,Mitrovicë e Jugut
ESMIR KASI,1,0.0,Mitrovicë e Jugut
GRAÐANSKA İNİCİJATİVA GORE,10,0.03,Mitrovicë e Jugut
LIDHJA DEMOKRATIKE E KOSOVËS,7187,23.17,Mitrovicë e Jugut
SRPSKA LISTA,17,0.05,Mitrovicë e Jugut
PARTIA LIBERALE EGJIPTIANE,8,0.09,Mitrovicë e Veriut
PARTIA DEMOKRATIKE E KOSOVËS,499,5.69,Mitrovicë e Veriut
PARTIA E ASHKALINJËVE PËR INTEGRIM,8,0.09,Mitrovicë e Veriut
STRANKA DEMOKRATSKE AKCIJE,13,0.15,Mitrovicë e Veriut
PARTIJA KOSOVSKIH SRBA,57,0.65,Mitrovicë e Veriut
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,3,0.03,Mitrovicë e Veriut
POKRET ZA GORA,22,0.25,Mitrovicë e Veriut
NOVA DEMOKRATSKA STRANKA,26,0.3,Mitrovicë e Veriut
AAK-PSD KOALICIONI 100% KOSOVË,70,0.8,Mitrovicë e Veriut
SLOBODA,51,0.58,Mitrovicë e Veriut
SAMOSTALNA LIBERALNA STRANKA,35,0.4,Mitrovicë e Veriut
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,33,0.38,Mitrovicë e Veriut
JEDINSTVENA GORANSKA PARTIJA,6,0.07,Mitrovicë e Veriut
KOALICIJA VAKAT,68,0.78,Mitrovicë e Veriut
FJALA,13,0.15,Mitrovicë e Veriut
LËVIZJA VETËVENDOSJE!,448,5.11,Mitrovicë e Veriut
KOSOVA DEMOKRATIK TÜRK PARTISI,20,0.23,Mitrovicë e Veriut
PARTIA ROME E BASHKUAR E KOSOVËS,2,0.02,Mitrovicë e Veriut
PARTIA EUROATLANTIKE E KOSOVËS,0,0.0,Mitrovicë e Veriut
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,Mitrovicë e Veriut
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,3,0.03,Mitrovicë e Veriut
ESMIR KASI,2,0.02,Mitrovicë e Veriut
GRAÐANSKA İNİCİJATİVA GORE,11,0.13,Mitrovicë e Veriut
LIDHJA DEMOKRATIKE E KOSOVËS,248,2.83,Mitrovicë e Veriut
SRPSKA LISTA,7117,81.22,Mitrovicë e Veriut
PARTIA LIBERALE EGJIPTIANE,11,0.23,novoberde
PARTIA DEMOKRATIKE E KOSOVËS,260,5.51,novoberde
PARTIA E ASHKALINJËVE PËR INTEGRIM,2,0.04,novoberde
STRANKA DEMOKRATSKE AKCIJE,1,0.02,novoberde
PARTIJA KOSOVSKIH SRBA,9,0.19,novoberde
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,1,0.02,novoberde
POKRET ZA GORA,0,0.0,novoberde
NOVA DEMOKRATSKA STRANKA,0,0.0,novoberde
AAK-PSD KOALICIONI 100% KOSOVË,215,4.56,novoberde
SLOBODA,2,0.04,novoberde
SAMOSTALNA LIBERALNA STRANKA,75,1.59,novoberde
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,121,2.57,novoberde
JEDINSTVENA GORANSKA PARTIJA,2,0.04,novoberde
KOALICIJA VAKAT,0,0.0,novoberde
FJALA,6,0.13,novoberde
LËVIZJA VETËVENDOSJE!,513,10.88,novoberde
KOSOVA DEMOKRATIK TÜRK PARTISI,0,0.0,novoberde
PARTIA ROME E BASHKUAR E KOSOVËS,0,0.0,novoberde
PARTIA EUROATLANTIKE E KOSOVËS,13,0.28,novoberde
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,novoberde
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,0.0,novoberde
ESMIR KASI,1,0.02,novoberde
GRAÐANSKA İNİCİJATİVA GORE,6,0.13,novoberde
LIDHJA DEMOKRATIKE E KOSOVËS,546,11.58,novoberde
SRPSKA LISTA,2931,62.16,novoberde
PARTIA LIBERALE EGJIPTIANE,45,0.38,Novobërdë
PARTIA DEMOKRATIKE E KOSOVËS,2151,18.26,Novobërdë
PARTIA E ASHKALINJËVE PËR INTEGRIM,59,0.5,Novobërdë
STRANKA DEMOKRATSKE AKCIJE,20,0.17,Novobërdë
PARTIJA KOSOVSKIH SRBA,6,0.05,Novobërdë
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,30,0.25,Novobërdë
POKRET ZA GORA,3,0.03,Novobërdë
NOVA DEMOKRATSKA STRANKA,11,0.09,Novobërdë
AAK-PSD KOALICIONI 100% KOSOVË,2235,18.98,Novobërdë
SLOBODA,3,0.03,Novobërdë
SAMOSTALNA LIBERALNA STRANKA,155,1.32,Novobërdë
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,291,2.47,Novobërdë
JEDINSTVENA GORANSKA PARTIJA,2,0.02,Novobërdë
KOALICIJA VAKAT,4,0.03,Novobërdë
FJALA,39,0.33,Novobërdë
LËVIZJA VETËVENDOSJE!,2947,25.02,Novobërdë
KOSOVA DEMOKRATIK TÜRK PARTISI,2,0.02,Novobërdë
PARTIA ROME E BASHKUAR E KOSOVËS,12,0.1,Novobërdë
PARTIA EUROATLANTIKE E KOSOVËS,12,0.1,Novobërdë
KOSOVAKI NEVI ROMANI PARTIA,1,0.01,Novobërdë
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,0.0,Novobërdë
ESMIR KASI,2,0.02,Novobërdë
GRAÐANSKA İNİCİJATİVA GORE,8,0.07,Novobërdë
LIDHJA DEMOKRATIKE E KOSOVËS,2494,21.18,Novobërdë
SRPSKA LISTA,1245,10.57,Novobërdë
PARTIA LIBERALE EGJIPTIANE,1,0.05,Partesh
PARTIA DEMOKRATIKE E KOSOVËS,0,0.0,Partesh
PARTIA E ASHKALINJËVE PËR INTEGRIM,2,0.09,Partesh
STRANKA DEMOKRATSKE AKCIJE,0,0.0,Partesh
PARTIJA KOSOVSKIH SRBA,3,0.14,Partesh
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,0,0.0,Partesh
POKRET ZA GORA,0,0.0,Partesh
NOVA DEMOKRATSKA STRANKA,0,0.0,Partesh
AAK-PSD KOALICIONI 100% KOSOVË,1,0.05,Partesh
SLOBODA,21,1.0,Partesh
SAMOSTALNA LIBERALNA STRANKA,104,4.93,Partesh
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,0,0.0,Partesh
JEDINSTVENA GORANSKA PARTIJA,0,0.0,Partesh
KOALICIJA VAKAT,1,0.05,Partesh
FJALA,0,0.0,Partesh
LËVIZJA VETËVENDOSJE!,5,0.24,Partesh
KOSOVA DEMOKRATIK TÜRK PARTISI,3,0.14,Partesh
PARTIA ROME E BASHKUAR E KOSOVËS,0,0.0,Partesh
PARTIA EUROATLANTIKE E KOSOVËS,0,0.0,Partesh
KOSOVAKI NEVI ROMANI PARTIA,1,0.05,Partesh
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1,0.05,Partesh
ESMIR KASI,0,0.0,Partesh
GRAÐANSKA İNİCİJATİVA GORE,0,0.0,Partesh
LIDHJA DEMOKRATIKE E KOSOVËS,2,0.09,Partesh
SRPSKA LISTA,1963,93.12,Partesh
PARTIA LIBERALE EGJIPTIANE,466,1.06,Pejë
PARTIA DEMOKRATIKE E KOSOVËS,4416,10.07,Pejë
PARTIA E ASHKALINJËVE PËR INTEGRIM,51,0.12,Pejë
STRANKA DEMOKRATSKE AKCIJE,316,0.72,Pejë
PARTIJA KOSOVSKIH SRBA,4,0.01,Pejë
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,23,0.05,Pejë
POKRET ZA GORA,94,0.21,Pejë
NOVA DEMOKRATSKA STRANKA,456,1.04,Pejë
AAK-PSD KOALICIONI 100% KOSOVË,11733,26.74,Pejë
SLOBODA,13,0.03,Pejë
SAMOSTALNA LIBERALNA STRANKA,37,0.08,Pejë
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,652,1.49,Pejë
JEDINSTVENA GORANSKA PARTIJA,13,0.03,Pejë
KOALICIJA VAKAT,474,1.08,Pejë
FJALA,259,0.59,Pejë
LËVIZJA VETËVENDOSJE!,9465,21.57,Pejë
KOSOVA DEMOKRATIK TÜRK PARTISI,14,0.03,Pejë
PARTIA ROME E BASHKUAR E KOSOVËS,115,0.26,Pejë
PARTIA EUROATLANTIKE E KOSOVËS,58,0.13,Pejë
KOSOVAKI NEVI ROMANI PARTIA,7,0.02,Pejë
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,503,1.15,Pejë
ESMIR KASI,1,0.0,Pejë
GRAÐANSKA İNİCİJATİVA GORE,33,0.08,Pejë
LIDHJA DEMOKRATIKE E KOSOVËS,14180,32.32,Pejë
SRPSKA LISTA,488,1.11,Pejë
PARTIA LIBERALE EGJIPTIANE,194,0.53,Podujevë
PARTIA DEMOKRATIKE E KOSOVËS,6734,18.29,Podujevë
PARTIA E ASHKALINJËVE PËR INTEGRIM,152,0.41,Podujevë
STRANKA DEMOKRATSKE AKCIJE,22,0.06,Podujevë
PARTIJA KOSOVSKIH SRBA,8,0.02,Podujevë
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,131,0.36,Podujevë
POKRET ZA GORA,24,0.07,Podujevë
NOVA DEMOKRATSKA STRANKA,32,0.09,Podujevë
AAK-PSD KOALICIONI 100% KOSOVË,1683,4.57,Podujevë
SLOBODA,5,0.01,Podujevë
SAMOSTALNA LIBERALNA STRANKA,2,0.01,Podujevë
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,638,1.73,Podujevë
JEDINSTVENA GORANSKA PARTIJA,1,0.0,Podujevë
KOALICIJA VAKAT,29,0.08,Podujevë
FJALA,139,0.38,Podujevë
LËVIZJA VETËVENDOSJE!,12747,34.62,Podujevë
KOSOVA DEMOKRATIK TÜRK PARTISI,12,0.03,Podujevë
PARTIA ROME E BASHKUAR E KOSOVËS,4,0.01,Podujevë
PARTIA EUROATLANTIKE E KOSOVËS,16,0.04,Podujevë
KOSOVAKI NEVI ROMANI PARTIA,1,0.0,Podujevë
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,6,0.02,Podujevë
ESMIR KASI,0,0.0,Podujevë
GRAÐANSKA İNİCİJATİVA GORE,26,0.07,Podujevë
LIDHJA DEMOKRATIKE E KOSOVËS,14192,38.54,Podujevë
SRPSKA LISTA,23,0.06,Podujevë
PARTIA LIBERALE EGJIPTIANE,149,0.15,Prishtinë
PARTIA DEMOKRATIKE E KOSOVËS,15456,15.46,Prishtinë
PARTIA E ASHKALINJËVE PËR INTEGRIM,92,0.09,Prishtinë
STRANKA DEMOKRATSKE AKCIJE,34,0.03,Prishtinë
PARTIJA KOSOVSKIH SRBA,23,0.02,Prishtinë
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,100,0.1,Prishtinë
POKRET ZA GORA,17,0.02,Prishtinë
NOVA DEMOKRATSKA STRANKA,74,0.07,Prishtinë
AAK-PSD KOALICIONI 100% KOSOVË,7617,7.62,Prishtinë
SLOBODA,124,0.12,Prishtinë
SAMOSTALNA LIBERALNA STRANKA,64,0.06,Prishtinë
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,4767,4.77,Prishtinë
JEDINSTVENA GORANSKA PARTIJA,25,0.03,Prishtinë
KOALICIJA VAKAT,108,0.11,Prishtinë
FJALA,351,0.35,Prishtinë
LËVIZJA VETËVENDOSJE!,37229,37.24,Prishtinë
KOSOVA DEMOKRATIK TÜRK PARTISI,606,0.61,Prishtinë
PARTIA ROME E BASHKUAR E KOSOVËS,11,0.01,Prishtinë
PARTIA EUROATLANTIKE E KOSOVËS,173,0.17,Prishtinë
KOSOVAKI NEVI ROMANI PARTIA,2,0.0,Prishtinë
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,10,0.01,Prishtinë
ESMIR KASI,10,0.01,Prishtinë
GRAÐANSKA İNİCİJATİVA GORE,75,0.08,Prishtinë
LIDHJA DEMOKRATIKE E KOSOVËS,32497,32.5,Prishtinë
SRPSKA LISTA,366,0.37,Prishtinë
PARTIA LIBERALE EGJIPTIANE,316,0.52,Prizren
PARTIA DEMOKRATIKE E KOSOVËS,13161,21.46,Prizren
PARTIA E ASHKALINJËVE PËR INTEGRIM,203,0.33,Prizren
STRANKA DEMOKRATSKE AKCIJE,25,0.04,Prizren
PARTIJA KOSOVSKIH SRBA,8,0.01,Prizren
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,53,0.09,Prizren
POKRET ZA GORA,50,0.08,Prizren
NOVA DEMOKRATSKA STRANKA,2819,4.6,Prizren
AAK-PSD KOALICIONI 100% KOSOVË,3843,6.27,Prizren
SLOBODA,17,0.03,Prizren
SAMOSTALNA LIBERALNA STRANKA,145,0.24,Prizren
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,3210,5.23,Prizren
JEDINSTVENA GORANSKA PARTIJA,198,0.32,Prizren
KOALICIJA VAKAT,4265,6.95,Prizren
FJALA,340,0.55,Prizren
LËVIZJA VETËVENDOSJE!,16160,26.35,Prizren
KOSOVA DEMOKRATIK TÜRK PARTISI,3394,5.53,Prizren
PARTIA ROME E BASHKUAR E KOSOVËS,494,0.81,Prizren
PARTIA EUROATLANTIKE E KOSOVËS,75,0.12,Prizren
KOSOVAKI NEVI ROMANI PARTIA,196,0.32,Prizren
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,14,0.02,Prizren
ESMIR KASI,472,0.77,Prizren
GRAÐANSKA İNİCİJATİVA GORE,129,0.21,Prizren
LIDHJA DEMOKRATIKE E KOSOVËS,11660,19.01,Prizren
SRPSKA LISTA,85,0.14,Prizren
PARTIA LIBERALE EGJIPTIANE,63,0.31,Rahovec
PARTIA DEMOKRATIKE E KOSOVËS,4281,21.29,Rahovec
PARTIA E ASHKALINJËVE PËR INTEGRIM,18,0.09,Rahovec
STRANKA DEMOKRATSKE AKCIJE,3,0.01,Rahovec
PARTIJA KOSOVSKIH SRBA,1,0.0,Rahovec
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,16,0.08,Rahovec
POKRET ZA GORA,2,0.01,Rahovec
NOVA DEMOKRATSKA STRANKA,19,0.09,Rahovec
AAK-PSD KOALICIONI 100% KOSOVË,5117,25.45,Rahovec
SLOBODA,2,0.01,Rahovec
SAMOSTALNA LIBERALNA STRANKA,8,0.04,Rahovec
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,748,3.72,Rahovec
JEDINSTVENA GORANSKA PARTIJA,14,0.07,Rahovec
KOALICIJA VAKAT,22,0.11,Rahovec
FJALA,242,1.2,Rahovec
LËVIZJA VETËVENDOSJE!,4283,21.3,Rahovec
KOSOVA DEMOKRATIK TÜRK PARTISI,3,0.01,Rahovec
PARTIA ROME E BASHKUAR E KOSOVËS,9,0.04,Rahovec
PARTIA EUROATLANTIKE E KOSOVËS,21,0.1,Rahovec
KOSOVAKI NEVI ROMANI PARTIA,2,0.01,Rahovec
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,42,0.21,Rahovec
ESMIR KASI,2,0.01,Rahovec
GRAÐANSKA İNİCİJATİVA GORE,7,0.03,Rahovec
LIDHJA DEMOKRATIKE E KOSOVËS,4762,23.68,Rahovec
SRPSKA LISTA,419,2.08,Rahovec
PARTIA LIBERALE EGJIPTIANE,1,0.04,Ranillug
PARTIA DEMOKRATIKE E KOSOVËS,10,0.36,Ranillug
PARTIA E ASHKALINJËVE PËR INTEGRIM,1,0.04,Ranillug
STRANKA DEMOKRATSKE AKCIJE,2,0.07,Ranillug
PARTIJA KOSOVSKIH SRBA,5,0.18,Ranillug
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,0,0.0,Ranillug
POKRET ZA GORA,0,0.0,Ranillug
NOVA DEMOKRATSKA STRANKA,0,0.0,Ranillug
AAK-PSD KOALICIONI 100% KOSOVË,10,0.36,Ranillug
SLOBODA,26,0.95,Ranillug
SAMOSTALNA LIBERALNA STRANKA,127,4.62,Ranillug
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,7,0.25,Ranillug
JEDINSTVENA GORANSKA PARTIJA,0,0.0,Ranillug
KOALICIJA VAKAT,0,0.0,Ranillug
FJALA,4,0.15,Ranillug
LËVIZJA VETËVENDOSJE!,7,0.25,Ranillug
KOSOVA DEMOKRATIK TÜRK PARTISI,0,0.0,Ranillug
PARTIA ROME E BASHKUAR E KOSOVËS,0,0.0,Ranillug
PARTIA EUROATLANTIKE E KOSOVËS,0,0.0,Ranillug
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,Ranillug
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,2,0.07,Ranillug
ESMIR KASI,0,0.0,Ranillug
GRAÐANSKA İNİCİJATİVA GORE,0,0.0,Ranillug
LIDHJA DEMOKRATIKE E KOSOVËS,11,0.4,Ranillug
SRPSKA LISTA,2536,92.25,Ranillug
PARTIA LIBERALE EGJIPTIANE,65,0.54,Shtime
PARTIA DEMOKRATIKE E KOSOVËS,4014,33.36,Shtime
PARTIA E ASHKALINJËVE PËR INTEGRIM,244,2.03,Shtime
STRANKA DEMOKRATSKE AKCIJE,2,0.02,Shtime
PARTIJA KOSOVSKIH SRBA,3,0.02,Shtime
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,97,0.81,Shtime
POKRET ZA GORA,0,0.0,Shtime
NOVA DEMOKRATSKA STRANKA,1,0.01,Shtime
AAK-PSD KOALICIONI 100% KOSOVË,477,3.96,Shtime
SLOBODA,2,0.02,Shtime
SAMOSTALNA LIBERALNA STRANKA,4,0.03,Shtime
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,963,8.0,Shtime
JEDINSTVENA GORANSKA PARTIJA,8,0.07,Shtime
KOALICIJA VAKAT,2,0.02,Shtime
FJALA,41,0.34,Shtime
LËVIZJA VETËVENDOSJE!,3306,27.48,Shtime
KOSOVA DEMOKRATIK TÜRK PARTISI,3,0.02,Shtime
PARTIA ROME E BASHKUAR E KOSOVËS,15,0.12,Shtime
PARTIA EUROATLANTIKE E KOSOVËS,9,0.07,Shtime
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,Shtime
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,0.0,Shtime
ESMIR KASI,3,0.02,Shtime
GRAÐANSKA İNİCİJATİVA GORE,8,0.07,Shtime
LIDHJA DEMOKRATIKE E KOSOVËS,2759,22.93,Shtime
SRPSKA LISTA,5,0.04,Shtime
PARTIA LIBERALE EGJIPTIANE,4,0.06,Shtërpcë
PARTIA DEMOKRATIKE E KOSOVËS,520,7.21,Shtërpcë
PARTIA E ASHKALINJËVE PËR INTEGRIM,29,0.4,Shtërpcë
STRANKA DEMOKRATSKE AKCIJE,0,0.0,Shtërpcë
PARTIJA KOSOVSKIH SRBA,19,0.26,Shtërpcë
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,8,0.11,Shtërpcë
POKRET ZA GORA,0,0.0,Shtërpcë
NOVA DEMOKRATSKA STRANKA,0,0.0,Shtërpcë
AAK-PSD KOALICIONI 100% KOSOVË,56,0.78,Shtërpcë
SLOBODA,30,0.42,Shtërpcë
SAMOSTALNA LIBERALNA STRANKA,339,4.7,Shtërpcë
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,196,2.72,Shtërpcë
JEDINSTVENA GORANSKA PARTIJA,17,0.24,Shtërpcë
KOALICIJA VAKAT,2,0.03,Shtërpcë
FJALA,7,0.1,Shtërpcë
LËVIZJA VETËVENDOSJE!,438,6.07,Shtërpcë
KOSOVA DEMOKRATIK TÜRK PARTISI,31,0.43,Shtërpcë
PARTIA ROME E BASHKUAR E KOSOVËS,0,0.0,Shtërpcë
PARTIA EUROATLANTIKE E KOSOVËS,1,0.01,Shtërpcë
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,Shtërpcë
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,2,0.03,Shtërpcë
ESMIR KASI,0,0.0,Shtërpcë
GRAÐANSKA İNİCİJATİVA GORE,5,0.07,Shtërpcë
LIDHJA DEMOKRATIKE E KOSOVËS,455,6.31,Shtërpcë
SRPSKA LISTA,5054,70.07,Shtërpcë
PARTIA LIBERALE EGJIPTIANE,61,0.38,Skënderaj
PARTIA DEMOKRATIKE E KOSOVËS,12196,76.22,Skënderaj
PARTIA E ASHKALINJËVE PËR INTEGRIM,6,0.04,Skënderaj
STRANKA DEMOKRATSKE AKCIJE,0,0.0,Skënderaj
PARTIJA KOSOVSKIH SRBA,1,0.01,Skënderaj
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,7,0.04,Skënderaj
POKRET ZA GORA,0,0.0,Skënderaj
NOVA DEMOKRATSKA STRANKA,6,0.04,Skënderaj
AAK-PSD KOALICIONI 100% KOSOVË,449,2.81,Skënderaj
SLOBODA,5,0.03,Skënderaj
SAMOSTALNA LIBERALNA STRANKA,3,0.02,Skënderaj
